grid_id,grid_latitude,grid_longitude,target_month,score,probability,risk_tier,rank
1147_330,51.3597470668624,0.4942033288817734,2026-01-01,0.09303253059232602,0.010994406962038242,Low,10682
706_334,51.40234167709776,-2.6734443045252347,2026-01-01,0.09303087424554161,0.01099419791098916,Low,10683
1014_411,51.7402022184967,-0.4481180476146984,2026-01-01,0.0930282330389324,0.010993864559909555,Low,10684
1015_414,51.75358804065606,-0.4404153106716915,2026-01-01,0.0930282330389324,0.010993864559909555,Low,10685
1167_373,51.54971540071121,0.6488343099001894,2026-01-01,0.09302385945872696,0.010993312566379046,Low,10686
1007_447,51.90264200736178,-0.4934019648714469,2026-01-01,0.09302188411485587,0.010993063257784657,Low,10687
957_524,52.252798911903646,-0.8478109610681074,2026-01-01,0.09302188411485587,0.010993063257784657,Low,10688
704_791,53.4563265373216,-2.720570743009508,2026-01-01,0.09301837325337628,0.010992620153240653,Low,10689
705_848,53.712517650197896,-2.717367405492124,2026-01-01,0.09300813411622848,0.010991327890637516,Low,10690
640_353,51.48405780318554,-3.1498988651877253,2026-01-01,0.09299684084045394,0.010989902613316192,Low,10691
1006_447,51.9027347805678,-0.5006667648183378,2026-01-01,0.09298208212912334,0.010988040019180896,Low,10692
1007_452,51.925111293190106,-0.4926497768257393,2026-01-01,0.09298208212912334,0.010988040019180896,Low,10693
743_821,53.59255901761264,-2.428276071902376,2026-01-01,0.09297945348618342,0.0109877082813876,Low,10694
750_798,53.48937297192908,-2.3744851528665416,2026-01-01,0.09297945348618342,0.0109877082813876,Low,10695
750_807,53.52981986422267,-2.374842115334009,2026-01-01,0.09297945348618342,0.0109877082813876,Low,10696
753_806,53.525394607784015,-2.3521766858094253,2026-01-01,0.09297945348618342,0.0109877082813876,Low,10697
758_833,53.64683968470987,-2.3153697056084543,2026-01-01,0.09297945348618342,0.0109877082813876,Low,10698
761_804,53.51656896513291,-2.29177917302874,2026-01-01,0.09297945348618342,0.0109877082813876,Low,10699
764_811,53.54808097838824,-2.26935768320602,2026-01-01,0.09297945348618342,0.0109877082813876,Low,10700
765_806,53.525627112227234,-2.261672941552124,2026-01-01,0.09297945348618342,0.0109877082813876,Low,10701
768_792,53.46275618453685,-2.238692858492942,2026-01-01,0.09297945348618342,0.0109877082813876,Low,10702
1076_356,51.486309239457775,-0.0102478039438905,2026-01-01,0.09297858877896878,0.010987599154657461,Low,10703
683_772,53.36988694900624,-2.8769210609892286,2026-01-01,0.09294703898054972,0.010983617655350972,Low,10704
947_517,52.22203018882829,-0.9218039432020192,2026-01-01,0.09294294629545874,0.01098310118524866,Low,10705
1035_475,52.02567663455176,-0.2852094051531714,2026-01-01,0.09294208267399158,0.010982992202326054,Low,10706
761_820,53.5884746361083,-2.2922746784625057,2026-01-01,0.0929399655900216,0.010982725041977635,Low,10707
782_566,52.44713982248602,-2.130167319565056,2026-01-01,0.09291678469672471,0.010979799847684352,Low,10708
1037_366,51.53567342311106,-0.289268339460329,2026-01-01,0.09291322832247421,0.010979351079452066,Low,10709
859_1111,54.89560397224862,-1.5376715273113477,2026-01-01,0.09288030687167191,0.010975196949213827,Low,10710
843_1135,55.00384713078198,-1.6614990288040945,2026-01-01,0.09284901041597893,0.010971248082069434,Low,10711
1032_350,51.46429224006863,-0.327929793350931,2026-01-01,0.0928431303791037,0.010970506185006546,Low,10712
1041_351,51.467844698368815,-0.2630114278023328,2026-01-01,0.0928431303791037,0.010970506185006546,Low,10713
1015_448,51.90637742671149,-0.4351288396150758,2026-01-01,0.09284007523260723,0.01097012071345316,Low,10714
1168_371,51.540570757241255,0.6555142998765674,2026-01-01,0.09279597911681223,0.010964557276442678,Low,10715
1168_372,51.54506162369581,0.6557758611122956,2026-01-01,0.09279597911681223,0.010964557276442678,Low,10716
